Family and Type,Insulation Type,Insulation Thickness,Size,Count,Length,Area,Surface Area
,,,,,,,
,,,,,,,
Rectangular Duct: DW144 - Taps - Mitered Elbows - Flanged,Duct Wrap,25 mm,200x350,1,1.198,1.318,0
Rectangular Duct: DW144 - Taps - Mitered Elbows - Flanged,Duct Wrap,25 mm,350x200,1,1.445,1.589,0
Rectangular Duct: DW144 - Taps - Mitered Elbows - Flanged,Duct Wrap,25 mm,400x300,1,0.115,0.161,0
'1: 4,,,,,2.758,3.068,0
Rectangular Duct: DW144 - Taps - Mitered Elbows - Flanged,Duct Wrap,25 mm,700x700,1,14.601,40.884,0
'2: 15,,,,,14.601,40.884,0
Rectangular Duct: DW144 - Taps - Mitered Elbows - Flanged,Duct Wrap,25 mm,950x500,1,0.235,0.681,0
Rectangular Duct: DW144 - Taps - Mitered Elbows - Flanged,Duct Wrap,25 mm,1000x1000,1,2.143,8.573,0
Rectangular Duct: DW144 - Taps - Mitered Elbows - Flanged,Duct Wrap,25 mm,1200x800,1,2.288,9.154,0
'3: 4,,,,,4.667,18.408,0
Grand total: 23,,,,,22.026,62.36,0
